date,Precipitation (mm),Discharge (cubic meters per second)
"January 01, 2024",0,20.27
"January 02, 2024",0,24.16
"January 03, 2024",2,30.38
"January 04, 2024",0,40.02
"January 05, 2024",1,54.55
"January 06, 2024",1,21.85
"January 07, 2024",1,19.25
"January 08, 2024",2,19.47
"January 09, 2024",2,29.42
"January 10, 2024",0,19.89
"January 11, 2024",0,30.6
"January 12, 2024",1,26.26
"January 13, 2024",1,26.07
"January 14, 2024",1,52.64
"January 15, 2024",1,35.82
"January 16, 2024",1,60.53
"January 17, 2024",1,45.26
"January 18, 2024",4,82.57
"January 19, 2024",0,58.4
"January 20, 2024",3,53.59
"January 21, 2024",1,30.81
"January 22, 2024",5,74.62
"January 23, 2024",0,43.02
"January 24, 2024",2,46.92
"January 25, 2024",0,54.36
"January 26, 2024",5,63.97
"January 27, 2024",0,95.96
"January 28, 2024",2,111.92
"January 29, 2024",3,94.12
"January 30, 2024",2,114.24
"January 31, 2024",6,106.12
"February 01, 2024",5,87.6
"February 02, 2024",3,79.92
"February 03, 2024",5,101.6
"February 04, 2024",4,90.88
"February 05, 2024",2,118.18
"February 06, 2024",2,163.57
"February 07, 2024",5,150.49
"February 08, 2024",3,161.36
"February 09, 2024",7,113.54
"February 10, 2024",7,152.28
"February 11, 2024",5,161.82
"February 12, 2024",7,157.95
"February 13, 2024",2,154.91
"February 14, 2024",8,131.01
"February 15, 2024",7,120.98
"February 16, 2024",5,121.91
"February 17, 2024",6,140.17
"February 18, 2024",4,119.3
"February 19, 2024",4,143.34
"February 20, 2024",4,104.81
"February 21, 2024",6,89.63
"February 22, 2024",3,87.31
"February 23, 2024",7,103.61
"February 24, 2024",2,85.24
"February 25, 2024",4,113.25
"February 26, 2024",2,123.59
"February 27, 2024",5,153.33
"February 28, 2024",2,126.24
"February 29, 2024",6,149.56
"March 01, 2024",6,175.21
"March 02, 2024",7,168.12
"March 03, 2024",3,149.92
"March 04, 2024",7,203.45
"March 05, 2024",8,185.9
"March 06, 2024",6,194.58
"March 07, 2024",5,224.25
"March 08, 2024",11,147.7
"March 09, 2024",6,139.78
"March 10, 2024",8,151.01
"March 11, 2024",10,166.73
"March 12, 2024",1,153.26
"March 13, 2024",4,122.41
"March 14, 2024",6,189.02
"March 15, 2024",8,163.84
"March 16, 2024",7,211.24
"March 17, 2024",1,228.39
"March 18, 2024",12,234.84
"March 19, 2024",5,224.48
"March 20, 2024",11,187.06
"March 21, 2024",10,159.87
"March 22, 2024",9,220.54
"March 23, 2024",9,156.98
"March 24, 2024",5,210.49
"March 25, 2024",4,196.8
"March 26, 2024",12,241.02
"March 27, 2024",2,210.22
"March 28, 2024",12,255.56
"March 29, 2024",7,221.63
"March 30, 2024",12,211.16
"March 31, 2024",6,213.78
"April 01, 2024",12,196.6
"April 02, 2024",8,260.92
"April 03, 2024",7,249.21
"April 04, 2024",9,203.24
"April 05, 2024",7,237.67
"April 06, 2024",13,280.53
"April 07, 2024",9,290.6
"April 08, 2024",5,329.93
"April 09, 2024",11,293.74
"April 10, 2024",14,263.95
"April 11, 2024",12,249.39
"April 12, 2024",14,373.09
"April 13, 2024",10,383.04
"April 14, 2024",8,357.26
"April 15, 2024",9,314.95
"April 16, 2024",23,292.79
"April 17, 2024",16,240.92
"April 18, 2024",12,239.45
"April 19, 2024",9,287.6
"April 20, 2024",10,286.14
"April 21, 2024",6,278.9
"April 22, 2024",10,328.88
"April 23, 2024",13,369.53
"April 24, 2024",12,322.51
"April 25, 2024",10,359.39
"April 26, 2024",16,214.66
"April 27, 2024",17,135.96
"April 28, 2024",9,81.7
"April 29, 2024",17,68.74
